"","Gamma","C","Accuracy"
"1",0.01,0.01,0.327
"2",0.1,0.01,0.327
"3",1,0.01,0.327
"4",10,0.01,0.327
"5",100,0.01,0.327
"6",1000,0.01,0.327
"7",10000,0.01,0.327
"8",1e+05,0.01,0.327
"9",0.01,0.1,0.476
"10",0.1,0.1,0.566
"11",1,0.1,0.437
"12",10,0.1,0.327
"13",100,0.1,0.327
"14",1000,0.1,0.327
"15",10000,0.1,0.327
"16",1e+05,0.1,0.327
"17",0.01,1,0.57
"18",0.1,1,0.612
"19",1,1,0.573
"20",10,1,0.386
"21",100,1,0.329
"22",1000,1,0.327
"23",10000,1,0.327
"24",1e+05,1,0.327
"25",0.01,10,0.582
"26",0.1,10,0.597
"27",1,10,0.526
"28",10,10,0.404
"29",100,10,0.329
"30",1000,10,0.327
"31",10000,10,0.327
"32",1e+05,10,0.327
"33",0.01,100,0.615
"34",0.1,100,0.581
"35",1,100,0.519
"36",10,100,0.404
"37",100,100,0.329
"38",1000,100,0.327
"39",10000,100,0.327
"40",1e+05,100,0.327
"41",0.01,1000,0.611
"42",0.1,1000,0.559
"43",1,1000,0.517
"44",10,1000,0.404
"45",100,1000,0.329
"46",1000,1000,0.327
"47",10000,1000,0.327
"48",1e+05,1000,0.327
"49",0.01,10000,0.592
"50",0.1,10000,0.519
"51",1,10000,0.517
"52",10,10000,0.404
"53",100,10000,0.329
"54",1000,10000,0.327
"55",10000,10000,0.327
"56",1e+05,10000,0.327
"57",0.01,1e+05,0.592
"58",0.1,1e+05,0.458
"59",1,1e+05,0.517
"60",10,1e+05,0.404
"61",100,1e+05,0.329
"62",1000,1e+05,0.327
"63",10000,1e+05,0.327
"64",1e+05,1e+05,0.327
