"values","ind"
0.5342,"MLR"
0.5382,"MLR"
0.5481,"MLR"
0.53,"MLR"
0.5476,"MLR"
0.5433,"MLR"
0.5391,"MLR"
0.5232,"MLR"
0.531,"MLR"
0.533,"MLR"
0.5444,"MLR"
0.542,"MLR"
0.5488,"MLR"
0.5387,"MLR"
0.5477,"MLR"
0.547,"MLR"
0.5272,"MLR"
0.5423,"MLR"
0.537,"MLR"
0.5536,"MLR"
0.5309,"MLR"
0.5395,"MLR"
0.5481,"MLR"
0.5469,"MLR"
0.5537,"MLR"
0.5513,"MLR"
0.5413,"MLR"
0.5399,"MLR"
0.5483,"MLR"
0.5494,"MLR"
0.5401,"MLR"
0.5434,"MLR"
0.5534,"MLR"
0.5334,"MLR"
0.549,"MLR"
0.5281,"MLR"
0.5398,"MLR"
0.5515,"MLR"
0.5295,"MLR"
0.545,"MLR"
0.5416,"MLR"
0.5308,"MLR"
0.5473,"MLR"
0.545,"MLR"
0.5554,"MLR"
0.5356,"MLR"
0.5437,"MLR"
0.5479,"MLR"
0.5374,"MLR"
0.5435,"MLR"
0.5315,"MLR"
0.5426,"MLR"
0.5434,"MLR"
0.5493,"MLR"
0.5358,"MLR"
0.5414,"MLR"
0.5405,"MLR"
0.5363,"MLR"
0.5336,"MLR"
0.5415,"MLR"
0.5361,"MLR"
0.5461,"MLR"
0.542,"MLR"
0.5271,"MLR"
0.5256,"MLR"
0.551,"MLR"
0.5418,"MLR"
0.5339,"MLR"
0.5438,"MLR"
0.539,"MLR"
0.5331,"MLR"
0.5362,"MLR"
0.542,"MLR"
0.5323,"MLR"
0.5439,"MLR"
0.5412,"MLR"
0.5539,"MLR"
0.5394,"MLR"
0.5349,"MLR"
0.5364,"MLR"
0.5448,"MLR"
0.5433,"MLR"
0.5509,"MLR"
0.5398,"MLR"
0.5532,"MLR"
0.5268,"MLR"
0.541,"MLR"
0.5372,"MLR"
0.5499,"MLR"
0.5325,"MLR"
0.5318,"MLR"
0.5324,"MLR"
0.5444,"MLR"
0.5458,"MLR"
0.5345,"MLR"
0.5379,"MLR"
0.5474,"MLR"
0.5296,"MLR"
0.533,"MLR"
0.542,"MLR"
0.526,"MLR"
0.5516,"MLR"
0.5519,"MLR"
0.5493,"MLR"
0.5485,"MLR"
0.5325,"MLR"
0.5408,"MLR"
0.543,"MLR"
0.5398,"MLR"
0.5266,"MLR"
0.5482,"MLR"
0.5345,"MLR"
0.5298,"MLR"
0.5544,"MLR"
0.5575,"MLR"
0.5527,"MLR"
0.5473,"MLR"
0.545,"MLR"
0.5313,"MLR"
0.5483,"MLR"
0.5381,"MLR"
0.5461,"MLR"
0.5483,"MLR"
0.5379,"MLR"
0.5451,"MLR"
0.5433,"MLR"
0.5512,"MLR"
0.5394,"MLR"
0.551,"MLR"
0.5378,"MLR"
0.5415,"MLR"
0.5421,"MLR"
0.538,"MLR"
0.5448,"MLR"
0.5389,"MLR"
0.5498,"MLR"
0.545,"MLR"
0.5293,"MLR"
0.5445,"MLR"
0.5313,"MLR"
0.5423,"MLR"
0.5509,"MLR"
0.5399,"MLR"
0.5526,"MLR"
0.5514,"MLR"
0.5546,"MLR"
0.5487,"MLR"
0.542,"MLR"
0.5412,"MLR"
0.5373,"MLR"
0.5519,"MLR"
0.5417,"MLR"
0.5383,"MLR"
0.5441,"MLR"
0.5461,"MLR"
0.5484,"MLR"
0.5492,"MLR"
0.5404,"MLR"
0.5373,"MLR"
0.5386,"MLR"
0.5434,"MLR"
0.5463,"MLR"
0.5333,"MLR"
0.5381,"MLR"
0.5367,"MLR"
0.5331,"MLR"
0.5455,"MLR"
0.5366,"MLR"
0.5485,"MLR"
0.5435,"MLR"
0.5447,"MLR"
0.5497,"MLR"
0.5282,"MLR"
0.5396,"MLR"
0.5497,"MLR"
0.5479,"MLR"
0.5321,"MLR"
0.5408,"MLR"
0.5391,"MLR"
0.5429,"MLR"
0.5373,"MLR"
0.5438,"MLR"
0.547,"MLR"
0.5414,"MLR"
0.5363,"MLR"
0.5227,"MLR"
0.5527,"MLR"
0.5498,"MLR"
0.5317,"MLR"
0.5348,"MLR"
0.5373,"MLR"
0.532,"MLR"
0.5383,"MLR"
0.5412,"MLR"
0.5391,"MLR"
0.5411,"MLR"
0.548,"MLR"
0.5495,"MLR"
0.5382,"MLR"
0.5501,"MLR"
0.5451,"linSVM"
0.5397,"linSVM"
0.5474,"linSVM"
0.5244,"linSVM"
0.5474,"linSVM"
0.5543,"linSVM"
0.5435,"linSVM"
0.5362,"linSVM"
0.5389,"linSVM"
0.534,"linSVM"
0.5481,"linSVM"
0.5364,"linSVM"
0.5622,"linSVM"
0.5393,"linSVM"
0.5605,"linSVM"
0.5589,"linSVM"
0.5293,"linSVM"
0.5528,"linSVM"
0.538,"linSVM"
0.5582,"linSVM"
0.5343,"linSVM"
0.54,"linSVM"
0.5506,"linSVM"
0.5555,"linSVM"
0.5553,"linSVM"
0.5581,"linSVM"
0.5569,"linSVM"
0.546,"linSVM"
0.5508,"linSVM"
0.5547,"linSVM"
0.543,"linSVM"
0.5483,"linSVM"
0.5534,"linSVM"
0.545,"linSVM"
0.5514,"linSVM"
0.5317,"linSVM"
0.5471,"linSVM"
0.5572,"linSVM"
0.5398,"linSVM"
0.5433,"linSVM"
0.5452,"linSVM"
0.5275,"linSVM"
0.5515,"linSVM"
0.5456,"linSVM"
0.5444,"linSVM"
0.5413,"linSVM"
0.5599,"linSVM"
0.5519,"linSVM"
0.5463,"linSVM"
0.5441,"linSVM"
0.5307,"linSVM"
0.5399,"linSVM"
0.5432,"linSVM"
0.556,"linSVM"
0.5389,"linSVM"
0.5387,"linSVM"
0.5501,"linSVM"
0.5464,"linSVM"
0.5414,"linSVM"
0.5418,"linSVM"
0.544,"linSVM"
0.5492,"linSVM"
0.5408,"linSVM"
0.5444,"linSVM"
0.5167,"linSVM"
0.5456,"linSVM"
0.5388,"linSVM"
0.5432,"linSVM"
0.5514,"linSVM"
0.5511,"linSVM"
0.5351,"linSVM"
0.5435,"linSVM"
0.553,"linSVM"
0.5439,"linSVM"
0.5484,"linSVM"
0.5567,"linSVM"
0.5496,"linSVM"
0.5416,"linSVM"
0.5362,"linSVM"
0.5403,"linSVM"
0.5528,"linSVM"
0.5437,"linSVM"
0.5595,"linSVM"
0.5502,"linSVM"
0.5692,"linSVM"
0.5199,"linSVM"
0.5463,"linSVM"
0.5406,"linSVM"
0.5616,"linSVM"
0.5209,"linSVM"
0.5366,"linSVM"
0.5287,"linSVM"
0.5548,"linSVM"
0.5513,"linSVM"
0.5383,"linSVM"
0.5461,"linSVM"
0.5545,"linSVM"
0.5312,"linSVM"
0.5314,"linSVM"
0.5382,"linSVM"
0.5291,"linSVM"
0.5637,"linSVM"
0.5563,"linSVM"
0.5492,"linSVM"
0.5516,"linSVM"
0.5399,"linSVM"
0.5451,"linSVM"
0.5477,"linSVM"
0.5525,"linSVM"
0.5357,"linSVM"
0.5464,"linSVM"
0.5449,"linSVM"
0.5291,"linSVM"
0.5447,"linSVM"
0.5585,"linSVM"
0.5558,"linSVM"
0.5463,"linSVM"
0.5567,"linSVM"
0.5315,"linSVM"
0.5486,"linSVM"
0.5388,"linSVM"
0.5536,"linSVM"
0.5526,"linSVM"
0.5499,"linSVM"
0.5586,"linSVM"
0.5457,"linSVM"
0.5572,"linSVM"
0.5397,"linSVM"
0.5481,"linSVM"
0.5504,"linSVM"
0.5492,"linSVM"
0.5528,"linSVM"
0.5518,"linSVM"
0.5536,"linSVM"
0.5382,"linSVM"
0.5618,"linSVM"
0.5471,"linSVM"
0.5333,"linSVM"
0.5517,"linSVM"
0.5327,"linSVM"
0.5459,"linSVM"
0.5544,"linSVM"
0.5504,"linSVM"
0.5585,"linSVM"
0.5598,"linSVM"
0.5555,"linSVM"
0.5509,"linSVM"
0.5416,"linSVM"
0.5435,"linSVM"
0.536,"linSVM"
0.5533,"linSVM"
0.5425,"linSVM"
