"","gamma","cost","error"
"1",1e-06,1e-06,0.564457279542604
"2",1e-05,1e-06,0.564457279542604
"3",1e-04,1e-06,0.564457279542604
"4",0.001,1e-06,0.564457279542604
"5",0.01,1e-06,0.564457279542604
"6",0.1,1e-06,0.564457279542604
"7",1,1e-06,0.564457279542604
"8",10,1e-06,0.564457279542604
"9",100,1e-06,0.564457279542604
"10",1000,1e-06,0.564457279542604
"11",10000,1e-06,0.564457279542604
"12",1e+05,1e-06,0.564457279542604
"13",1e+06,1e-06,0.564457279542604
"14",1e-06,1e-05,0.564457279542604
"15",1e-05,1e-05,0.564457279542604
"16",1e-04,1e-05,0.564457279542604
"17",0.001,1e-05,0.564457279542604
"18",0.01,1e-05,0.564457279542604
"19",0.1,1e-05,0.564457279542604
"20",1,1e-05,0.564457279542604
"21",10,1e-05,0.564457279542604
"22",100,1e-05,0.564457279542604
"23",1000,1e-05,0.564457279542604
"24",10000,1e-05,0.564457279542604
"25",1e+05,1e-05,0.564457279542604
"26",1e+06,1e-05,0.564457279542604
"27",1e-06,1e-04,0.564457279542604
"28",1e-05,1e-04,0.564457279542604
"29",1e-04,1e-04,0.564457279542604
"30",0.001,1e-04,0.564457279542604
"31",0.01,1e-04,0.564457279542604
"32",0.1,1e-04,0.564457279542604
"33",1,1e-04,0.564457279542604
"34",10,1e-04,0.564457279542604
"35",100,1e-04,0.564457279542604
"36",1000,1e-04,0.564457279542604
"37",10000,1e-04,0.564457279542604
"38",1e+05,1e-04,0.564457279542604
"39",1e+06,1e-04,0.564457279542604
"40",1e-06,0.001,0.564457279542604
"41",1e-05,0.001,0.564457279542604
"42",1e-04,0.001,0.564457279542604
"43",0.001,0.001,0.564457279542604
"44",0.01,0.001,0.564457279542604
"45",0.1,0.001,0.564457279542604
"46",1,0.001,0.564457279542604
"47",10,0.001,0.564457279542604
"48",100,0.001,0.564457279542604
"49",1000,0.001,0.564457279542604
"50",10000,0.001,0.564457279542604
"51",1e+05,0.001,0.564457279542604
"52",1e+06,0.001,0.564457279542604
"53",1e-06,0.01,0.564457279542604
"54",1e-05,0.01,0.564457279542604
"55",1e-04,0.01,0.564457279542604
"56",0.001,0.01,0.564457279542604
"57",0.01,0.01,0.564457279542604
"58",0.1,0.01,0.564457279542604
"59",1,0.01,0.564457279542604
"60",10,0.01,0.564457279542604
"61",100,0.01,0.564457279542604
"62",1000,0.01,0.564457279542604
"63",10000,0.01,0.564457279542604
"64",1e+05,0.01,0.564457279542604
"65",1e+06,0.01,0.564457279542604
"66",1e-06,0.1,0.564457279542604
"67",1e-05,0.1,0.564457279542604
"68",1e-04,0.1,0.564457279542604
"69",0.001,0.1,0.564457279542604
"70",0.01,0.1,0.535601061812666
"71",0.1,0.1,0.441867798488959
"72",1,0.1,0.555067238411948
"73",10,0.1,0.564457279542604
"74",100,0.1,0.564457279542604
"75",1000,0.1,0.564457279542604
"76",10000,0.1,0.564457279542604
"77",1e+05,0.1,0.564457279542604
"78",1e+06,0.1,0.564457279542604
"79",1e-06,1,0.564457279542604
"80",1e-05,1,0.564457279542604
"81",1e-04,1,0.564457279542604
"82",0.001,1,0.529967037134273
"83",0.01,1,0.430086053499023
"84",0.1,1,0.395081823750766
"85",1,1,0.449548437910213
"86",10,1,0.520746769347452
"87",100,1,0.542088620518655
"88",1000,1,0.551480120183192
"89",10000,1,0.551480120183192
"90",1e+05,1,0.551480120183192
"91",1e+06,1,0.551480120183192
"92",1e-06,10,0.564457279542604
"93",1e-05,10,0.564457279542604
"94",1e-04,10,0.529796680376885
"95",0.001,10,0.428547591960561
"96",0.01,10,0.401230127475861
"97",0.1,10,0.391829876608034
"98",1,10,0.459623989965287
"99",10,10,0.516305825384324
"100",100,10,0.534577462734459
"101",1000,10,0.551650768647356
"102",10000,10,0.551480120183192
"103",1e+05,10,0.551480120183192
"104",1e+06,10,0.551480120183192
"105",1e-06,100,0.564457279542604
"106",1e-05,100,0.529626031912721
"107",1e-04,100,0.427351302470756
"108",0.001,100,0.409595402701205
"109",0.01,100,0.389103001662729
"110",0.1,100,0.42052244683644
"111",1,100,0.467820366967125
"112",10,100,0.516135468626936
"113",100,100,0.534919051369563
"114",1000,100,0.551650768647356
"115",10000,100,0.551480120183192
"116",1e+05,100,0.551480120183192
"117",1e+06,100,0.551480120183192
"118",1e-06,1000,0.529626031912721
"119",1e-05,1000,0.427180362299816
"120",1e-04,1000,0.410789941950352
"121",0.001,1000,0.397129313613955
"122",0.01,1000,0.394563460809195
"123",0.1,1000,0.441519792304775
"124",1,1000,0.471575508299058
"125",10,1000,0.516989002654532
"126",100,1000,0.534919051369563
"127",1000,1000,0.551650768647356
"128",10000,1000,0.551480120183192
"129",1e+05,1000,0.551480120183192
"130",1e+06,1000,0.551480120183192
"131",1e-06,10000,0.428204836498352
"132",1e-05,10000,0.409936699629532
"133",1e-04,10000,0.402250517779528
"134",0.001,10000,0.390128059274817
"135",0.01,10000,0.413858697237537
"136",0.1,10000,0.458941687815408
"137",1,10000,0.474649222601441
"138",10,10000,0.517330882996412
"139",100,10000,0.534919051369563
"140",1000,10000,0.551650768647356
"141",10000,10000,0.551480120183192
"142",1e+05,10000,0.551480120183192
"143",1e+06,10000,0.551480120183192
"144",1e-06,1e+05,0.408912808844549
"145",1e-05,1e+05,0.400714681602054
"146",1e-04,1e+05,0.395934774364809
"147",0.001,1e+05,0.398834048014935
"148",0.01,1e+05,0.430082553017707
"149",0.1,1e+05,0.465940608500335
"150",1,1e+05,0.476867652635571
"151",10,1e+05,0.51767217992474
"152",100,1e+05,0.534919051369563
"153",1000,1e+05,0.551650768647356
"154",10000,1e+05,0.551480120183192
"155",1e+05,1e+05,0.551480120183192
"156",1e+06,1e+05,0.551480120183192
"157",1e-06,1e+06,0.400198652314693
"158",1e-05,1e+06,0.401227502114874
"159",1e-04,1e+06,0.39268574428984
"160",0.001,1e+06,0.413349377206032
"161",0.01,1e+06,0.446131384732067
"162",0.1,1e+06,0.476694670517196
"163",1,1e+06,0.483017414894548
"164",10,1e+06,0.517330882996412
"165",100,1e+06,0.534919051369563
"166",1000,1e+06,0.551650768647356
"167",10000,1e+06,0.551480120183192
"168",1e+05,1e+06,0.551480120183192
"169",1e+06,1e+06,0.551480120183192
